theorem_name, informal_statement, tag
easy_1,How many ways can a teacher select a group of 6 students to sit in the front row if the class has 13 students?,easy
easy_2,"There are 8 athletes participating in a sprint competition. The referee needs to select 3 athletes and assign them specific rankings (first place, second place, and third place). How many different arrangements are possible?",easy
easy_3,"An ice cream machine has 3 flavors - vanilla, chocolate, and strawberry. The ice cream can be served in 2 ways - in a cone or in a cup. Along with the ice cream, there are 5 options for toppings - hot fudge, caramel, nuts, cherries, and sprinkles.",easy
easy_4,"A restaurant’s menu has 3 appetizers, 3 mains and 2 desserts. In how many way can a 3-course meal be ordered?",easy
easy_5,"There are 10 red marbles, 6 green marbles, and 4 blue marbles in a box. What is the probability of picking the next red marble?",easy
easy_6,Two coins are tossed simultaneously. What is the probability of getting (i) At least one head? (ii) At most one tail? (iii) A head and a tail?,easy
easy_7,The group of 10 girls should be divided into two groups with at least four girls in each group. How many ways can this be done?,easy
easy_8,A ferry with a capacity of 10 people takes a group of 13 men and 7 women across a river. Find the number of waysin which the qroup may be taken across the if all women go on the first group.,easy
easy_9,"The father has six sons and ten identical, indistinguishable balls. How many ways can he give the balls to his sons if everyone gets at least one?",easy
easy_10,How many different ways can three people divide seven pears and five apples?,easy
brualdi_1,"Take any set of $2n$ points in the plane with no three collinear, and then arbitrarily color each point red or blue. Prove that it is always possible to pair up the red points with the blue points by drawing line segments connecting them so that no two of the line segments intersect.",brualdi
brualdi_2,"Let $q_{3}$ and $t$ be positive integers with $q_{3} \geq t$. Determine the Ramsey number $r_{t}\left(t, t, q_{3}\right)$.",brualdi
brualdi_ch3_18,"Prove that of any five points chosen within a square of side length 2 , there are two whose distance apart is at most $\\sqrt{2}$.",brualdi
brualdi_ch6_11,"Determine the number of permutations of $\{1,2, \ldots, 8\}$ in which no even integer is in its natural position.",brualdi
brualdi_ch6_21,Prove that $D_{n}$ is an even number if and only if $n$ is an odd number.,brualdi
brualdi_ch2_6,How many integers greater than 5400 have both of the following properties? (a) The digits are distinct. (b) The digits 2 and 7 do not occur.,brualdi
brualdi_ch2_36,"Determine the total number of combinations (of any size) of a multiset of objects of $k$ different types with finite repetition numbers $n_{1}, n_{2}, \ldots, n_{k}$, respectively.",brualdi
